==22360== NVPROF is profiling process 22360, command: /home/beatbat/.conda/envs/py37/bin/python -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=35, pipe_handle=98) --multiprocessing-fork
==22360== Profiling application: /home/beatbat/.conda/envs/py37/bin/python -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=35, pipe_handle=98) --multiprocessing-fork
==22360== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
66.9550s  2.9120us              (1 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        33  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110266]
66.9550s  239.04us              (2 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        31  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110210]
66.9550s  1.3760us                    -               -         -         -         -       64B  44.357MB/s    Pageable      Device   Tesla K40c (0)         1        26  [CUDA memcpy HtoD]
66.9550s  2.6240us              (1 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        26  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110014]
66.9550s  237.41us              (2 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        27  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110068]
66.9550s  221.54us              (2 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        28  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110102]
66.9550s  194.40us              (2 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        29  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110137]
66.9551s  194.47us              (2 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        33  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110287]
66.9551s  212.87us              (2 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        26  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110035]
66.9552s  1.2480us                    -               -         -         -         -       64B  48.906MB/s    Pageable      Device   Tesla K40c (0)         1        29  [CUDA memcpy HtoD]
66.9553s  2.1440us              (1 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        29  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110400]
66.9553s     864ns                    -               -         -         -         -       64B  70.643MB/s    Pageable      Device   Tesla K40c (0)         1        27  [CUDA memcpy HtoD]
66.9553s  2.1120us              (1 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        27  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110331]
66.9553s     864ns                    -               -         -         -         -       64B  70.643MB/s    Pageable      Device   Tesla K40c (0)         1        28  [CUDA memcpy HtoD]
66.9553s  2.1440us              (1 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        28  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110365]
66.9553s  159.62us              (2 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        29  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110421]
66.9553s  1.0560us                    -               -         -         -         -       64B  57.798MB/s    Pageable      Device   Tesla K40c (0)         1        26  [CUDA memcpy HtoD]
66.9553s  2.5600us              (1 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        26  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110298]
66.9553s  157.47us              (2 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        27  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110352]
66.9553s  142.37us              (2 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        28  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110386]
66.9554s  157.83us              (2 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        26  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110319]
66.9555s  11.776us             (2 16 1)        (32 8 1)        62  9.0000KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradWgradOutputParams<float, float>) [110442]
66.9556s  114.34us            (128 1 1)       (128 1 1)         9      512B        0B         -           -           -           -   Tesla K40c (0)         1         7  void calc_bias_diff<int=2, float, float, int=128, int=0>(cudnnTensorStruct, float const *, cudnnTensorStruct, float*, float, float, int) [110462]
66.9557s  7.6800us            (144 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [110471]
66.9557s  2.1760us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [110479]
66.9557s  718.19us           (196 2 64)       (256 1 1)        32        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  void MaxPoolBackward<float, float>(int, float const *, long const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*) [110511]
66.9565s  412.49us          (12544 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ [110528]
66.9569s  1.4961ms             (64 1 1)       (512 1 1)        31      400B        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>(float, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnnTensorStruct, float const *, float, float const , float, cudnnTensorStruct*, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>*, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>) [110567]
66.9584s  2.4320us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [110575]
66.9585s  2.1440us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [110583]
66.9585s  146.63us          (25088 1 1)       (256 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  void scalePackedTensor_kernel<float, float>(cudnnTensor4dStruct, float*, float) [110606]
66.9587s  6.4789ms           (1568 2 1)         (8 8 1)        93  3.2500KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::detail::dgrad_alg1_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, bool=0>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_alg1_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, bool=0>*, kernel_grad_params, int, int, float, int) [110624]
66.9651s  630.38us            (784 2 1)       (256 1 1)        56  24.125KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>) [110643]
66.9658s  463.98us            (784 2 1)       (256 1 1)        56  16.500KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradDelta4x4<float, float>(cudnn::winograd_nonfused::WinogradDeltaParams<float, float>) [110646]
66.9663s     832ns                    -               -         -         -         -       32B  36.680MB/s    Pageable      Device   Tesla K40c (0)         1        28  [CUDA memcpy HtoD]
66.9663s  3.3280us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        28  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110732]
66.9663s     864ns                    -               -         -         -         -       32B  35.321MB/s    Pageable      Device   Tesla K40c (0)         1        29  [CUDA memcpy HtoD]
66.9663s  2.1760us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        29  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110767]
66.9663s     864ns                    -               -         -         -         -       32B  35.321MB/s    Pageable      Device   Tesla K40c (0)         1        31  [CUDA memcpy HtoD]
66.9663s  2.2400us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        31  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110840]
66.9663s  1.0560us                    -               -         -         -         -       32B  28.899MB/s    Pageable      Device   Tesla K40c (0)         1        32  [CUDA memcpy HtoD]
66.9663s  2.1440us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        32  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110878]
66.9663s     832ns                    -               -         -         -         -       32B  36.680MB/s    Pageable      Device   Tesla K40c (0)         1        33  [CUDA memcpy HtoD]
66.9663s  2.1440us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        33  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110917]
66.9663s     832ns                    -               -         -         -         -       32B  36.680MB/s    Pageable      Device   Tesla K40c (0)         1        30  [CUDA memcpy HtoD]
66.9663s  2.2400us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        30  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110803]
66.9663s     864ns                    -               -         -         -         -       32B  35.321MB/s    Pageable      Device   Tesla K40c (0)         1        26  [CUDA memcpy HtoD]
66.9663s  2.1760us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        26  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110665]
66.9663s     832ns                    -               -         -         -         -       32B  36.680MB/s    Pageable      Device   Tesla K40c (0)         1        27  [CUDA memcpy HtoD]
66.9663s  2.1440us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        27  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110698]
66.9663s  315.56us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        28  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110753]
66.9664s  293.25us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        29  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110788]
66.9664s  283.91us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        31  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110861]
66.9664s  402.95us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        32  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110899]
66.9664s  544.78us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        33  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110938]
66.9666s  338.15us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        30  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110824]
66.9666s  280.61us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        26  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110686]
66.9666s  336.04us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        27  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110719]
66.9666s     864ns                    -               -         -         -         -       32B  35.321MB/s    Pageable      Device   Tesla K40c (0)         1        31  [CUDA memcpy HtoD]
66.9667s  17.024us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        31  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111124]
66.9667s     832ns                    -               -         -         -         -       32B  36.680MB/s    Pageable      Device   Tesla K40c (0)         1        28  [CUDA memcpy HtoD]
66.9667s  7.9040us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        28  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111016]
66.9667s     960ns                    -               -         -         -         -       32B  31.789MB/s    Pageable      Device   Tesla K40c (0)         1        29  [CUDA memcpy HtoD]
66.9667s  5.4720us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        29  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111051]
66.9667s  359.24us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        31  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111145]
66.9668s     864ns                    -               -         -         -         -       32B  35.321MB/s    Pageable      Device   Tesla K40c (0)         1        32  [CUDA memcpy HtoD]
66.9668s  352.55us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        28  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111037]
66.9669s  345.13us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        29  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111072]
66.9669s  14.689us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        32  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111162]
66.9669s  402.18us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        32  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111183]
66.9669s  1.3120us                    -               -         -         -         -       32B  23.260MB/s    Pageable      Device   Tesla K40c (0)         1        33  [CUDA memcpy HtoD]
66.9669s  16.960us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        33  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111201]
66.9669s     832ns                    -               -         -         -         -       32B  36.680MB/s    Pageable      Device   Tesla K40c (0)         1        26  [CUDA memcpy HtoD]
66.9669s  24.993us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        26  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110949]
66.9670s  387.75us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        33  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111222]
66.9670s     864ns                    -               -         -         -         -       32B  35.321MB/s    Pageable      Device   Tesla K40c (0)         1        30  [CUDA memcpy HtoD]
66.9670s     928ns                    -               -         -         -         -       32B  32.885MB/s    Pageable      Device   Tesla K40c (0)         1        27  [CUDA memcpy HtoD]
66.9670s  19.168us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        30  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111087]
66.9670s  378.66us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        26  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [110970]
66.9671s     832ns                    -               -         -         -         -       32B  36.680MB/s    Pageable      Device   Tesla K40c (0)         1        31  [CUDA memcpy HtoD]
66.9671s  12.896us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        27  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [110982]
66.9671s  333.77us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        30  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111108]
66.9671s  4.2560us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        31  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111408]
66.9671s  358.41us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        27  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111003]
66.9672s  367.81us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        31  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111429]
66.9672s     832ns                    -               -         -         -         -       32B  36.680MB/s    Pageable      Device   Tesla K40c (0)         1        28  [CUDA memcpy HtoD]
66.9672s     864ns                    -               -         -         -         -       32B  35.321MB/s    Pageable      Device   Tesla K40c (0)         1        29  [CUDA memcpy HtoD]
66.9672s  14.976us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        28  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111300]
66.9673s  8.4480us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        29  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111335]
66.9673s  302.69us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        28  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111321]
66.9673s  345.86us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        29  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111356]
66.9673s  1.0560us                    -               -         -         -         -       32B  28.899MB/s    Pageable      Device   Tesla K40c (0)         1        32  [CUDA memcpy HtoD]
66.9674s     832ns                    -               -         -         -         -       32B  36.680MB/s    Pageable      Device   Tesla K40c (0)         1        33  [CUDA memcpy HtoD]
66.9674s  8.4490us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        32  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111446]
66.9674s  6.8800us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        33  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111485]
66.9674s  302.50us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        32  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111467]
66.9674s     832ns                    -               -         -         -         -       32B  36.680MB/s    Pageable      Device   Tesla K40c (0)         1        26  [CUDA memcpy HtoD]
66.9674s  396.01us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        33  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111506]
66.9674s     832ns                    -               -         -         -         -       32B  36.680MB/s    Pageable      Device   Tesla K40c (0)         1        30  [CUDA memcpy HtoD]
66.9675s  17.024us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        26  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111233]
66.9675s  5.0880us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        30  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111371]
66.9675s  336.87us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        30  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111392]
66.9675s     864ns                    -               -         -         -         -       32B  35.321MB/s    Pageable      Device   Tesla K40c (0)         1        27  [CUDA memcpy HtoD]
66.9676s  374.15us              (2 2 7)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        26  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [111254]
66.9676s     832ns                    -               -         -         -         -       32B  36.680MB/s    Pageable      Device   Tesla K40c (0)         1        31  [CUDA memcpy HtoD]
66.9676s     832ns                    -               -         -         -         -       32B  36.680MB/s    Pageable      Device   Tesla K40c (0)         1        28  [CUDA memcpy HtoD]
66.9676s  16.640us              (1 2 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        27  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [111266]
